epoch,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,0.031870003789663315,0.0997840091586113,0.03186952695250511,0.17852038145065308,0.012061343528330326,0.07916980236768723,0.012060820125043392,0.10982175916433334
1,0.017016302794218063,0.08134876191616058,0.01701570674777031,0.13044427335262299,0.012082341127097607,0.0791834220290184,0.012081663124263287,0.10991661995649338
2,0.016915908083319664,0.08115077018737793,0.01691511645913124,0.13005812466144562,0.012101315893232822,0.07919500768184662,0.012100421823561192,0.11000191420316696
3,0.016818024218082428,0.08094217628240585,0.016816984862089157,0.1296803206205368,0.012118550948798656,0.07920464128255844,0.012117378413677216,0.11007896810770035
4,0.01672246679663658,0.08079256862401962,0.016721118241548538,0.12931016087532043,0.012134325690567493,0.07921262085437775,0.012132818810641766,0.1101490706205368
5,0.016629086807370186,0.08072575181722641,0.016627376899123192,0.1289471834897995,0.012148885987699032,0.07921890169382095,0.012146997265517712,0.11021341383457184
6,0.01653774082660675,0.08065712451934814,0.016535621136426926,0.1285909116268158,0.012162485159933567,0.07922349125146866,0.012160160578787327,0.11027311533689499
7,0.016448326408863068,0.08057290315628052,0.016445746645331383,0.12824097275733948,0.012175329960882664,0.07922671735286713,0.012172529473900795,0.11032918840646744
8,0.01636074110865593,0.08047173172235489,0.0163576602935791,0.12789705395698547,0.012187606655061245,0.07922855019569397,0.01218428835272789,0.11038246005773544
9,0.016274889931082726,0.08039138466119766,0.01627126894891262,0.1275588870048523,0.012199494056403637,0.07922955602407455,0.012195619754493237,0.11043377965688705
10,0.016190702095627785,0.08033954352140427,0.016186507418751717,0.12722620368003845,0.012211144901812077,0.07922975718975067,0.012206682935357094,0.11048385500907898
11,0.016108114272356033,0.08027651160955429,0.016103317961096764,0.126898854970932,0.012222672812640667,0.07922890037298203,0.012217591516673565,0.1105332151055336
12,0.016027074307203293,0.08019737899303436,0.016021637246012688,0.12657660245895386,0.012234206311404705,0.07922723889350891,0.012228475883603096,0.11058244109153748
13,0.015947528183460236,0.08010097593069077,0.015941426157951355,0.12625935673713684,0.012245836667716503,0.07922470569610596,0.012239431962370872,0.11063196510076523
14,0.015869442373514175,0.07999685406684875,0.01586265116930008,0.1259470134973526,0.012257648631930351,0.07922157645225525,0.012250547297298908,0.11068218946456909
15,0.01579277589917183,0.07989010959863663,0.01578526943922043,0.1256394386291504,0.0122697027400136,0.07921785116195679,0.012261886149644852,0.11073339730501175
16,0.015717506408691406,0.07977338135242462,0.015709277242422104,0.1253366470336914,0.012282061390578747,0.07921397686004639,0.012273508124053478,0.11078586429357529
17,0.01564359851181507,0.07967156171798706,0.015634622424840927,0.12503845989704132,0.012294759042561054,0.07921004295349121,0.012285455130040646,0.11083976924419403
